   MQ-3 (Alcohol Sensor)(mg/L), MQ-4 (Methane Sensor)(ppm), MQ-7 (CO Sensor)(ppm), MQ-8 (Hydrogen Sensor)(ppm), MQ-9 (CO Sensor)(ppm), MQ-135 (Air Quality Sensor)(ppm), Timestamp
35.55,410.16,270.51,462.89,420.9,217.77,0:04:03
35.64,410.16,271.48,463.87,420.9,218.75,0:04:07
35.64,408.2,271.48,461.91,418.95,217.77,0:04:11
35.64,405.27,270.51,460.94,417.97,216.8,0:04:15
35.74,407.23,271.48,460.94,417.97,216.8,0:04:19
35.64,405.27,270.51,458.01,416.02,215.82,0:04:23
35.55,403.32,269.53,458.01,416.02,214.84,0:04:28
35.84,406.25,271.48,463.87,420.9,216.8,0:04:32
35.94,407.23,272.46,463.87,419.92,216.8,0:04:36
35.94,406.25,272.46,461.91,417.97,216.8,0:04:40
36.13,404.3,273.44,459.96,416.99,216.8,0:04:44
36.13,403.32,273.44,458.01,416.02,216.8,0:04:48
36.13,401.37,273.44,455.08,414.06,215.82,0:04:52
36.13,400.39,272.46,453.13,412.11,214.84,0:04:56
36.13,399.41,272.46,451.17,411.13,214.84,0:05:00
36.13,398.44,272.46,448.24,410.16,214.84,0:05:04
36.23,397.46,273.44,447.27,409.18,214.84,0:05:08
36.13,396.48,272.46,444.34,408.2,213.87,0:05:12
36.04,394.53,270.51,442.38,406.25,211.91,0:05:16
36.33,395.51,272.46,442.38,406.25,213.87,0:05:20
36.23,394.53,272.46,440.43,405.27,212.89,0:05:24
36.33,394.53,272.46,439.45,404.3,212.89,0:05:28
36.33,392.58,272.46,436.52,403.32,211.91,0:05:32
36.43,392.58,272.46,438.48,400.39,212.89,0:05:37
36.13,389.65,270.51,432.62,400.39,209.96,0:05:41
35.84,386.72,266.6,427.73,396.48,205.08,0:05:45
36.04,387.7,268.55,428.71,397.46,208.01,0:05:49
36.04,385.74,268.55,426.76,395.51,207.03,0:05:53
36.04,384.77,268.55,424.8,394.53,207.03,0:05:57
36.33,386.72,270.51,425.78,396.48,208.98,0:06:01
36.52,387.7,272.46,425.78,396.48,210.94,0:06:05
36.52,387.7,272.46,424.8,396.48,210.94,0:06:09
36.52,386.72,272.46,422.85,395.51,209.96,0:06:13
36.43,384.77,270.51,420.9,393.55,208.98,0:06:17
36.52,385.74,271.48,420.9,393.55,209.96,0:06:21
36.43,383.79,271.48,417.97,391.6,208.98,0:06:25
36.52,383.79,272.46,416.99,392.58,209.96,0:06:29
36.82,385.74,273.44,418.95,393.55,210.94,0:06:33
36.82,385.74,273.44,417.97,393.55,210.94,0:06:37
36.72,384.77,273.44,416.02,391.6,209.96,0:06:41
36.52,381.84,270.51,413.09,388.67,207.03,0:06:45
36.62,381.84,270.51,413.09,388.67,208.01,0:06:50
36.72,381.84,272.46,412.11,388.67,208.98,0:06:54
36.82,381.84,272.46,411.13,388.67,208.98,0:06:58
36.72,380.86,271.48,409.18,386.72,208.01,0:07:02
36.82,381.84,272.46,409.18,387.7,208.01,0:07:06
36.91,381.84,272.46,408.2,387.7,208.98,0:07:10
36.91,380.86,271.48,407.23,386.72,208.01,0:07:14
36.91,379.88,272.46,406.25,385.74,208.98,0:07:18
36.91,378.91,272.46,404.3,384.77,208.01,0:07:22
36.91,378.91,272.46,403.32,383.79,208.01,0:07:26
37.11,379.88,273.44,404.3,384.77,208.98,0:07:30
37.21,380.86,274.41,404.3,385.74,209.96,0:07:34
37.11,378.91,273.44,402.34,383.79,208.98,0:07:38
37.01,377.93,273.44,400.39,381.84,208.98,0:07:42
37.21,378.91,274.41,400.39,382.81,208.98,0:07:46
37.11,376.95,273.44,398.44,380.86,208.98,0:07:50
37.01,375.98,273.44,396.48,379.88,208.01,0:07:54
37.11,375.98,273.44,396.48,379.88,208.01,0:07:59
37.21,376.95,273.44,395.51,379.88,208.98,0:08:03
37.11,375,272.46,393.55,377.93,208.01,0:08:07
37.21,375.98,273.44,393.55,378.91,208.01,0:08:11
37.21,375,273.44,392.58,377.93,208.98,0:08:15
37.01,373.05,272.46,389.65,375,207.03,0:08:19
37.21,375,273.44,390.63,376.95,208.98,0:08:23
37.21,375,274.41,389.65,376.95,208.98,0:08:27
37.11,372.07,272.46,386.72,374.02,208.01,0:08:31
37.21,373.05,273.44,386.72,374.02,208.01,0:08:35
37.3,374.02,274.41,386.72,375,208.98,0:08:39
37.5,375,276.37,387.7,375.98,210.94,0:08:43
37.4,374.02,274.41,386.72,374.02,208.98,0:08:47
37.5,375,275.39,386.72,375,209.96,0:08:51
37.3,372.07,273.44,383.79,373.05,208.01,0:08:55
37.21,371.09,272.46,381.84,371.09,206.05,0:08:59
37.11,370.12,271.48,379.88,369.14,205.08,0:09:03
36.33,362.3,265.63,372.07,361.33,201.17,0:09:07
37.11,369.14,271.48,377.93,368.16,206.05,0:09:12
36.72,365.23,268.55,374.02,364.26,204.1,0:09:16
37.01,367.19,270.51,375.98,366.21,205.08,0:09:20
36.91,366.21,270.51,374.02,364.26,205.08,0:09:24
37.11,368.16,271.48,375,366.21,206.05,0:09:28
37.01,366.21,270.51,373.05,364.26,205.08,0:09:32
37.01,365.23,270.51,372.07,363.28,205.08,0:09:36
37.21,368.16,272.46,373.05,365.23,206.05,0:09:40
37.21,368.16,271.48,372.07,364.26,207.03,0:09:44
37.3,369.14,272.46,373.05,365.23,207.03,0:09:48
37.3,368.16,273.44,372.07,365.23,207.03,0:09:52
37.5,370.12,276.37,375,367.19,210.94,0:09:56
38.09,375,282.23,378.91,372.07,216.8,0:10:00
38.28,376.95,284.18,379.88,373.05,219.73,0:10:04
37.4,368.16,274.41,370.12,364.26,209.96,0:10:08
38.18,376.95,284.18,377.93,372.07,219.73,0:10:12
38.28,377.93,285.16,378.91,374.02,221.68,0:10:16
38.87,383.79,292.97,383.79,375.98,228.52,0:10:21
39.45,388.67,298.83,388.67,384.77,237.3,0:10:25
37.21,366.21,272.46,365.23,361.33,208.01,0:10:29
37.01,365.23,270.51,363.28,359.38,205.08,0:10:33
36.91,364.26,270.51,363.28,358.4,205.08,0:10:37
36.91,364.26,269.53,362.3,358.4,205.08,0:10:41
36.72,361.33,267.58,359.38,355.47,203.13,0:10:45
36.72,361.33,271.48,359.38,355.47,208.01,0:10:49
37.6,369.14,275.39,366.21,363.28,208.98,0:10:53
37.7,371.09,276.37,368.16,364.26,209.96,0:10:57
37.79,373.05,276.37,369.14,365.23,209.96,0:11:01
37.89,372.07,276.37,369.14,364.26,209.96,0:11:05
37.89,372.07,277.34,369.14,364.26,210.94,0:11:09
37.89,371.09,276.37,368.16,363.28,209.96,0:11:13
38.09,372.07,278.32,369.14,364.26,211.91,0:11:17
38.09,372.07,277.34,369.14,363.28,211.91,0:11:21
37.7,367.19,274.41,364.26,359.38,208.98,0:11:25
37.89,368.16,276.37,364.26,359.38,209.96,0:11:29
37.89,368.16,275.39,363.28,359.38,208.98,0:11:34
37.7,366.21,274.41,361.33,357.42,208.01,0:11:38
37.89,366.21,275.39,361.33,358.4,208.98,0:11:42
37.99,368.16,276.37,362.3,359.38,209.96,0:11:46
38.18,370.12,279.3,364.26,360.35,212.89,0:11:50
38.28,371.09,280.27,364.26,361.33,214.84,0:11:54
38.09,368.16,277.34,360.35,358.4,210.94,0:11:58
37.99,367.19,276.37,359.38,356.45,209.96,0:12:02
37.89,366.21,275.39,358.4,355.47,208.01,0:12:06
37.89,365.23,274.41,357.42,354.49,208.01,0:12:10
37.79,365.23,273.44,356.45,353.52,207.03,0:12:14
37.7,363.28,272.46,354.49,352.54,206.05,0:12:18
37.5,361.33,270.51,351.56,349.61,204.1,0:12:22
37.7,362.3,271.48,352.54,350.59,204.1,0:12:26
37.6,361.33,270.51,351.56,349.61,204.1,0:12:30
37.6,361.33,270.51,350.59,348.63,203.13,0:12:34
37.5,359.38,269.53,349.61,347.66,203.13,0:12:38
37.21,357.42,267.58,345.7,343.75,201.17,0:12:42
37.7,360.35,270.51,349.61,347.66,203.13,0:12:47
37.7,360.35,270.51,349.61,347.66,203.13,0:12:51
37.79,361.33,270.51,349.61,347.66,203.13,0:12:55
37.79,360.35,270.51,348.63,346.68,203.13,0:12:59
37.79,360.35,270.51,348.63,346.68,203.13,0:13:03
37.79,360.35,270.51,347.66,345.7,203.13,0:13:07
37.89,360.35,270.51,346.68,345.7,203.13,0:13:11
37.89,360.35,270.51,345.7,344.73,203.13,0:13:15
37.79,359.38,269.53,344.73,343.75,202.15,0:13:19
37.7,357.42,269.53,343.75,342.77,202.15,0:13:23
37.7,357.42,269.53,342.77,341.8,201.17,0:13:27
37.89,358.4,270.51,343.75,342.77,202.15,0:13:31
37.89,358.4,269.53,342.77,342.77,202.15,0:13:35
37.6,355.47,267.58,339.84,339.84,200.2,0:13:39
37.7,355.47,268.55,339.84,339.84,201.17,0:13:43
37.79,356.45,268.55,339.84,339.84,201.17,0:13:47
37.6,354.49,267.58,337.89,337.89,200.2,0:13:51
37.79,356.45,268.55,338.87,338.87,200.2,0:13:56
37.6,353.52,267.58,335.94,336.91,199.22,0:14:00
37.79,354.49,267.58,336.91,337.89,200.2,0:14:04
37.4,350.59,264.65,332.03,333.98,197.27,0:14:08
37.7,353.52,267.58,334.96,335.94,199.22,0:14:12
37.4,351.56,264.65,332.03,333.01,197.27,0:14:16
37.3,349.61,264.65,330.08,332.03,197.27,0:14:20
37.3,349.61,263.67,329.1,331.05,197.27,0:14:24
37.6,351.56,265.63,331.05,333.01,198.24,0:14:28
37.6,351.56,265.63,331.05,333.01,198.24,0:14:32
37.5,349.61,264.65,329.1,332.03,197.27,0:14:36
37.7,350.59,265.63,330.08,333.01,198.24,0:14:40
37.3,348.63,263.67,326.17,329.1,195.31,0:14:44
37.4,349.61,263.67,326.17,329.1,196.29,0:14:48
37.4,349.61,263.67,326.17,329.1,196.29,0:14:52
37.4,349.61,263.67,325.2,328.13,195.31,0:14:56
37.4,349.61,263.67,325.2,326.17,195.31,0:15:00
37.01,345.7,260.74,321.29,324.22,193.36,0:15:04
37.21,346.68,261.72,322.27,326.17,194.34,0:15:09
37.4,348.63,263.67,324.22,327.15,196.29,0:15:13
37.5,349.61,263.67,324.22,328.13,196.29,0:15:17
37.5,349.61,263.67,324.22,328.13,196.29,0:15:21
37.6,349.61,263.67,324.22,328.13,196.29,0:15:25
37.7,350.59,264.65,325.2,328.13,197.27,0:15:29
37.7,349.61,264.65,324.22,328.13,196.29,0:15:33
37.7,350.59,264.65,324.22,328.13,197.27,0:15:37
37.4,348.63,263.67,322.27,326.17,196.29,0:15:41
37.7,349.61,264.65,323.24,327.15,196.29,0:15:45
37.6,347.66,263.67,321.29,325.2,196.29,0:15:49
37.79,349.61,264.65,322.27,326.17,196.29,0:15:53
37.79,349.61,264.65,322.27,326.17,196.29,0:15:57
37.79,350.59,264.65,322.27,326.17,196.29,0:16:01
37.79,349.61,264.65,321.29,325.2,196.29,0:16:05
37.79,349.61,263.67,320.31,324.22,195.31,0:16:09
37.79,348.63,263.67,320.31,324.22,195.31,0:16:13
37.89,348.63,264.65,319.34,324.22,196.29,0:16:18
37.89,348.63,264.65,319.34,323.24,196.29,0:16:22
37.7,346.68,262.7,317.38,322.27,195.31,0:16:26
37.7,346.68,263.67,316.41,321.29,195.31,0:16:30
37.79,347.66,263.67,317.38,322.27,195.31,0:16:34
37.79,346.68,263.67,316.41,321.29,195.31,0:16:38
37.7,345.7,262.7,314.45,320.31,194.34,0:16:42
37.99,347.66,264.65,316.41,321.29,196.29,0:16:46
37.99,347.66,264.65,315.43,321.29,196.29,0:16:50
37.99,347.66,264.65,315.43,320.31,195.31,0:16:54
37.99,346.68,263.67,314.45,320.31,195.31,0:16:58
37.89,345.7,263.67,313.48,318.36,195.31,0:17:02
37.79,344.73,262.7,312.5,317.38,194.34,0:17:06
37.79,344.73,262.7,311.52,317.38,194.34,0:17:10
37.99,345.7,263.67,312.5,317.38,194.34,0:17:14
37.89,344.73,262.7,310.55,316.41,194.34,0:17:18
37.7,343.75,261.72,309.57,314.45,193.36,0:17:22
37.89,344.73,262.7,309.57,316.41,193.36,0:17:26
37.89,344.73,262.7,309.57,315.43,194.34,0:17:31
37.89,343.75,261.72,308.59,314.45,193.36,0:17:35
37.79,343.75,261.72,308.59,314.45,193.36,0:17:39
37.89,344.73,262.7,308.59,314.45,193.36,0:17:43
37.89,343.75,261.72,307.62,313.48,193.36,0:17:47
37.79,342.77,260.74,306.64,312.5,192.38,0:17:51
37.7,341.8,260.74,305.66,311.52,192.38,0:17:55
37.99,344.73,261.72,306.64,313.48,193.36,0:17:59
37.99,344.73,262.7,306.64,313.48,193.36,0:18:03
37.99,344.73,262.7,306.64,313.48,193.36,0:18:07
38.09,344.73,262.7,306.64,313.48,194.34,0:18:11
38.09,344.73,262.7,306.64,313.48,194.34,0:18:15
38.09,344.73,262.7,306.64,313.48,194.34,0:18:19
38.09,344.73,262.7,305.66,312.5,194.34,0:18:23
38.09,344.73,262.7,305.66,312.5,194.34,0:18:27
38.09,344.73,262.7,305.66,312.5,194.34,0:18:31
38.09,343.75,262.7,304.69,311.52,194.34,0:18:35
38.09,343.75,262.7,303.71,311.52,194.34,0:18:39
38.09,343.75,262.7,303.71,310.55,193.36,0:18:44
38.09,343.75,261.72,303.71,310.55,193.36,0:18:48
37.99,342.77,261.72,302.73,309.57,193.36,0:18:52
37.99,341.8,260.74,301.76,308.59,192.38,0:18:56
37.89,340.82,260.74,300.78,308.59,192.38,0:19:00
37.79,339.84,260.74,299.8,307.62,192.38,0:19:04
37.99,341.8,260.74,300.78,308.59,193.36,0:19:08
37.79,340.82,259.77,298.83,306.64,192.38,0:19:12
37.79,339.84,258.79,297.85,305.66,191.41,0:19:16
37.7,338.87,258.79,296.88,304.69,191.41,0:19:20
38.09,341.8,260.74,298.83,307.62,192.38,0:19:24
38.09,342.77,261.72,298.83,307.62,193.36,0:19:28
37.99,341.8,261.72,298.83,306.64,193.36,0:19:32
37.79,339.84,259.77,296.88,304.69,191.41,0:19:36
37.7,337.89,258.79,294.92,303.71,191.41,0:19:40
37.7,338.87,258.79,294.92,303.71,191.41,0:19:44
37.79,338.87,258.79,294.92,302.73,190.43,0:19:48
37.89,339.84,259.77,295.9,304.69,192.38,0:19:53
37.89,339.84,259.77,294.92,303.71,191.41,0:19:57
37.89,339.84,259.77,294.92,303.71,191.41,0:20:01
37.79,338.87,258.79,293.95,301.76,190.43,0:20:05
37.79,338.87,258.79,293.95,302.73,190.43,0:20:09
37.6,336.91,256.84,291.99,300.78,189.45,0:20:13
37.79,338.87,258.79,292.97,301.76,190.43,0:20:17
37.89,339.84,259.77,293.95,302.73,191.41,0:20:21
37.99,340.82,259.77,293.95,302.73,191.41,0:20:25
38.09,340.82,259.77,293.95,302.73,191.41,0:20:29
38.09,340.82,259.77,293.95,302.73,191.41,0:20:33
38.09,340.82,260.74,293.95,301.76,192.38,0:20:37
38.09,340.82,259.77,292.97,301.76,191.41,0:20:41
38.18,340.82,260.74,292.97,301.76,192.38,0:20:45
38.18,340.82,260.74,292.97,301.76,192.38,0:20:49
38.18,340.82,260.74,292.97,301.76,192.38,0:20:53
38.18,340.82,260.74,292.97,300.78,192.38,0:20:57
38.18,340.82,260.74,291.99,300.78,192.38,0:21:01
38.18,340.82,260.74,291.99,300.78,192.38,0:21:06
38.18,340.82,260.74,291.99,300.78,192.38,0:21:10
38.18,340.82,260.74,291.99,300.78,192.38,0:21:14
38.28,340.82,260.74,291.99,300.78,193.36,0:21:18
38.28,341.8,261.72,291.99,300.78,193.36,0:21:22
38.28,341.8,261.72,291.99,300.78,194.34,0:21:26
38.28,341.8,262.7,291.99,300.78,194.34,0:21:30
38.38,342.77,262.7,292.97,301.76,195.31,0:21:34
38.28,341.8,261.72,291.02,299.8,194.34,0:21:38
38.18,340.82,260.74,290.04,298.83,193.36,0:21:42
38.38,341.8,262.7,291.99,300.78,195.31,0:21:46
38.57,343.75,265.63,293.95,302.73,198.24,0:21:50
38.28,341.8,261.72,290.04,299.8,195.31,0:21:54
38.38,342.77,263.67,291.99,300.78,197.27,0:21:58
37.99,338.87,259.77,287.11,296.88,192.38,0:22:02
37.89,337.89,257.81,286.13,295.9,191.41,0:22:06
37.7,335.94,256.84,285.16,293.95,190.43,0:22:10
37.7,335.94,256.84,284.18,293.95,189.45,0:22:15
37.6,334.96,255.86,283.2,292.97,188.48,0:22:19
37.7,335.94,256.84,284.18,293.95,189.45,0:22:23
37.6,335.94,255.86,283.2,292.97,189.45,0:22:27
37.79,337.89,257.81,284.18,293.95,190.43,0:22:31
37.99,338.87,258.79,285.16,294.92,191.41,0:22:35
37.99,338.87,258.79,285.16,294.92,191.41,0:22:39
37.99,339.84,258.79,285.16,294.92,191.41,0:22:43
37.99,339.84,258.79,285.16,294.92,191.41,0:22:47
37.99,339.84,258.79,285.16,294.92,191.41,0:22:51
38.09,338.87,258.79,285.16,294.92,191.41,0:22:55
37.99,338.87,258.79,285.16,294.92,191.41,0:22:59
37.99,338.87,257.81,284.18,293.95,191.41,0:23:03
37.99,338.87,257.81,284.18,293.95,191.41,0:23:07
38.09,338.87,257.81,284.18,293.95,191.41,0:23:11
38.09,338.87,258.79,284.18,292.97,191.41,0:23:15
37.99,337.89,257.81,283.2,292.97,191.41,0:23:19
37.99,337.89,257.81,283.2,292.97,191.41,0:23:23
37.99,337.89,257.81,283.2,291.99,191.41,0:23:28
37.89,336.91,256.84,282.23,291.02,190.43,0:23:32
37.89,336.91,256.84,281.25,291.02,190.43,0:23:36
37.99,336.91,257.81,282.23,291.99,190.43,0:23:40
37.89,336.91,256.84,281.25,290.04,190.43,0:23:44
37.79,335.94,255.86,280.27,289.06,189.45,0:23:48
37.79,335.94,255.86,280.27,289.06,190.43,0:23:52
38.09,337.89,257.81,281.25,291.02,191.41,0:23:56
38.09,337.89,257.81,281.25,291.02,191.41,0:24:00
38.09,337.89,257.81,281.25,291.02,191.41,0:24:04
38.09,338.87,258.79,281.25,291.02,191.41,0:24:08
38.09,337.89,257.81,281.25,291.02,191.41,0:24:12
38.09,338.87,257.81,281.25,291.02,191.41,0:24:16
38.18,338.87,258.79,281.25,291.02,192.38,0:24:20
38.18,338.87,258.79,281.25,291.02,192.38,0:24:24
38.18,338.87,258.79,281.25,291.02,192.38,0:24:28
38.18,338.87,258.79,281.25,290.04,192.38,0:24:32
38.18,338.87,258.79,280.27,290.04,192.38,0:24:36
38.09,337.89,258.79,280.27,290.04,191.41,0:24:41
38.09,337.89,257.81,280.27,289.06,192.38,0:24:45
38.09,337.89,257.81,279.3,289.06,191.41,0:24:49
37.99,336.91,257.81,278.32,288.09,191.41,0:24:53
37.89,335.94,255.86,277.34,287.11,190.43,0:24:57
37.79,334.96,255.86,276.37,286.13,190.43,0:25:01
37.89,335.94,256.84,277.34,287.11,191.41,0:25:05
38.48,341.8,262.7,283.2,292.97,198.24,0:25:09
37.99,337.89,257.81,278.32,288.09,192.38,0:25:13
37.99,336.91,256.84,277.34,287.11,191.41,0:25:17
37.99,336.91,256.84,277.34,287.11,191.41,0:25:21
37.89,336.91,256.84,276.37,286.13,190.43,0:25:25
37.89,336.91,255.86,276.37,286.13,190.43,0:25:29
37.89,335.94,255.86,276.37,286.13,190.43,0:25:33
37.7,334.96,254.88,274.41,284.18,189.45,0:25:37
37.7,334.96,254.88,274.41,284.18,189.45,0:25:41
37.79,334.96,254.88,274.41,284.18,189.45,0:25:45
37.89,336.91,255.86,275.39,286.13,190.43,0:25:50
37.99,336.91,256.84,275.39,285.16,190.43,0:25:54
37.99,336.91,256.84,275.39,285.16,190.43,0:25:58
37.99,337.89,256.84,276.37,285.16,191.41,0:26:02
37.99,337.89,257.81,276.37,286.13,191.41,0:26:06
38.09,338.87,257.81,277.34,286.13,192.38,0:26:10
38.09,337.89,257.81,276.37,286.13,191.41,0:26:14
37.99,337.89,256.84,276.37,285.16,191.41,0:26:18
38.09,337.89,256.84,275.39,285.16,191.41,0:26:22
37.99,336.91,256.84,275.39,284.18,190.43,0:26:26
37.99,336.91,256.84,274.41,284.18,190.43,0:26:30
37.99,336.91,255.86,274.41,284.18,191.41,0:26:34
37.99,336.91,256.84,274.41,284.18,191.41,0:26:38
37.99,336.91,256.84,274.41,284.18,191.41,0:26:42
37.99,336.91,256.84,274.41,284.18,191.41,0:26:46
37.99,336.91,256.84,274.41,283.2,191.41,0:26:50
38.09,336.91,256.84,274.41,283.2,190.43,0:26:54
38.09,336.91,256.84,274.41,283.2,190.43,0:26:58
37.99,336.91,255.86,273.44,283.2,190.43,0:27:03
38.09,336.91,256.84,273.44,283.2,191.41,0:27:07
38.09,336.91,256.84,273.44,283.2,191.41,0:27:11
38.28,339.84,260.74,277.34,286.13,195.31,0:27:15
37.79,334.96,255.86,272.46,282.23,191.41,0:27:19
37.7,334.96,256.84,271.48,281.25,193.36,0:27:23
37.99,336.91,257.81,272.46,283.2,193.36,0:27:27
37.6,333.01,253.91,268.55,279.3,189.45,0:27:31
37.79,334.96,254.88,270.51,280.27,189.45,0:27:35
37.89,337.89,256.84,272.46,282.23,191.41,0:27:39
37.89,337.89,255.86,272.46,282.23,191.41,0:27:43
37.89,337.89,255.86,272.46,282.23,191.41,0:27:47
37.6,334.96,253.91,269.53,279.3,190.43,0:27:51
37.7,334.96,254.88,269.53,280.27,190.43,0:27:55
37.89,336.91,255.86,271.48,281.25,191.41,0:27:59
37.89,337.89,255.86,271.48,281.25,191.41,0:28:03
37.99,338.87,256.84,272.46,281.25,192.38,0:28:07
38.09,338.87,257.81,272.46,282.23,192.38,0:28:12
38.09,339.84,257.81,273.44,283.2,193.36,0:28:16
38.09,339.84,257.81,273.44,283.2,193.36,0:28:20
38.09,339.84,257.81,273.44,283.2,194.34,0:28:24
38.09,339.84,258.79,273.44,283.2,194.34,0:28:28
38.18,340.82,259.77,274.41,284.18,195.31,0:28:32
38.48,343.75,262.7,277.34,286.13,208.01,0:28:36
38.67,345.7,265.63,280.27,290.04,202.15,0:28:40
39.26,352.54,272.46,287.11,295.9,210.94,0:28:44
39.26,353.52,274.41,288.09,296.88,211.91,0:28:48
37.11,331.05,249.02,262.7,273.44,185.55,0:28:52
39.06,350.59,271.48,284.18,294.92,209.96,0:28:56
38.48,345.7,265.63,279.3,289.06,203.13,0:29:00
39.06,352.54,273.44,286.13,296.88,212.89,0:29:04
39.16,353.52,276.37,288.09,298.83,216.8,0:29:08
38.38,346.68,266.6,279.3,290.04,207.03,0:29:12
38.87,352.54,272.46,285.16,295.9,211.91,0:29:16
38.48,348.63,267.58,280.27,291.02,206.05,0:29:20
39.94,364.26,284.18,296.88,307.62,224.61,0:29:25
38.87,353.52,272.46,286.13,295.9,211.91,0:29:29
37.79,343.75,258.79,273.44,284.18,197.27,0:29:33
37.89,344.73,259.77,274.41,285.16,197.27,0:29:37
37.7,342.77,256.84,272.46,282.23,194.34,0:29:41
37.89,343.75,258.79,274.41,284.18,196.29,0:29:45
37.89,344.73,259.77,276.37,285.16,197.27,0:29:49
38.28,347.66,263.67,280.27,289.06,201.17,0:29:53
37.79,338.87,254.88,271.48,281.25,192.38,0:29:57
37.5,338.87,253.91,270.51,279.3,190.43,0:30:01
37.5,338.87,253.91,270.51,279.3,191.41,0:30:05
37.21,335.94,252.93,268.55,278.32,190.43,0:30:09
37.4,336.91,253.91,269.53,278.32,191.41,0:30:13
37.11,334.96,251.95,267.58,276.37,189.45,0:30:17
37.4,336.91,253.91,270.51,279.3,192.38,0:30:21
37.5,337.89,253.91,270.51,279.3,191.41,0:30:25
38.67,349.61,267.58,283.2,291.02,206.05,0:30:29
39.06,354.49,275.39,290.04,297.85,215.82,0:30:33
38.57,348.63,267.58,282.23,290.04,206.05,0:30:38
38.77,351.56,270.51,285.16,293.95,210.94,0:30:42
36.72,330.08,247.07,260.74,270.51,185.55,0:30:46
38.38,348.63,265.63,280.27,289.06,205.08,0:30:50
38.09,345.7,264.65,278.32,287.11,204.1,0:30:54
